Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2022-05-23,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-24,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-25,4.5,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-26,6.5,27,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-27,3.6,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-28,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-29,2,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-30,1.7,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-31,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-01,7,29,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-02,8.4,35,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-03,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-04,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-05,1.5,6,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-06,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-07,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-08,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-09,4.7,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-10,1.3,5,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-11,2.6,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-12,2.2,9,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-13,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-14,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-15,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-16,4.6,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-17,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-18,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-19,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-20,2.4,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-21,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-22,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-23,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-24,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-25,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-26,6.1,25,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-27,6.5,27,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-28,4.5,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-29,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-06-30,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-01,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
